freq,amp
72.76,1.380316386096757e-06
86.0,1.5596886448977903e-06
99.22,1.1730163611081356e-06
108.04,1.3605736567288383e-06
116.86,0.009322366803812269
233.73,0.00047441291759108136
246.96,0.002736437013111629
337.36,0.00530334162473465
350.6,1.9396622850780025e-05
467.46,0.003377752911562079
582.12,5.804202049067498e-06
683.55,0.00013864573529992667
703.4,0.00020369454409410094
767.34,0.00010608219943619686
833.49,4.16740775867121e-05
985.64,7.876272328804697e-05
1049.58,5.962869316021142e-06
1157.62,5.1872752414034276e-05
1214.96,2.210318427679867e-06
1345.05,1.9246184322183733e-06
1353.87,3.124155262043859e-06
1375.92,3.5035671759405025e-05
1633.9,3.4143128607290626e-06
1744.16,7.354774228236433e-06
1854.4,3.7990892484132726e-06
1874.25,5.726125472046312e-06
2004.34,6.399247011566224e-06
2811.38,1.817582426779511e-06
3067.16,1.0617810206000148e-06